,target_difficulty,mean_cohort_time,n_beads,n_cohorts,cpu_time
0,0.00020346836901064428,32.7249999999995,8,8,1.2089425790000001
1,0.0002270718882166248,57.57499999999788,10,8,1.1127284090000003
2,0.00025341355351192674,13.150000000000098,8,8,0.49943364899999976
3,0.0002828110058356426,19.450000000000042,8,8,0.49935330400000044
4,0.0003156187343310485,15.550000000000132,8,8,0.4229940180000007
5,0.0003522323509525119,15.550000000000132,8,8,0.43021867100000044
6,0.0003930933609517633,5.474999999999989,8,8,0.23895076800000004
7,0.00043869448676844033,5.474999999999989,8,8,0.25084228599999925
8,0.0004895856095230291,5.474999999999989,8,8,0.20225486299999984
9,0.0005463803997576924,5.474999999999989,8,8,0.2096117800000008
10,0.0006097637173817569,5.474999999999989,8,8,0.2102502529999999
11,0.0006804998700541041,11.666666666666766,9,9,0.37786378099999984
12,0.0007594418295861489,6.525000000000004,8,8,0.28528171499999955
13,0.000847541517501394,6.525000000000004,8,8,0.2793437439999997
14,0.000945861283779973,3.424999999999996,8,8,0.20482680799999997
15,0.001055586717204596,4.816666666666669,9,9,0.22003715300000026
16,0.0011780409417814547,6.3500000000000245,10,9,0.24512813700000047
17,0.0013147005716294513,5.02499999999999,9,8,0.21546448500000004
18,0.0014672135167297581,4.274999999999993,9,8,0.1671483699999996
19,0.0016374188542463415,4.274999999999993,9,8,0.1677570239999997
20,0.0018273690050357072,4.274999999999993,9,8,0.1691421120000003
21,0.002039354482761326,4.274999999999993,10,8,0.16990844800000016
22,0.0022759315140498666,2.5999999999999988,10,8,0.13283150700000057
23,0.0025399528627468846,3.7833333333333266,12,9,0.14250537900000104
24,0.002834602229966197,3.2699999999999934,18,14,0.19010284099999986
25,0.003163432644745913,3.2699999999999934,18,14,0.19376126899999946
26,0.0035304093082447973,2.3866666666666645,15,12,0.1427276449999999
27,0.0039399574081156385,2.3866666666666645,15,12,0.14598776499999921
28,0.0043970154796252135,2.3866666666666645,16,12,0.14417148700000038
29,0.0049070949569758136,2.3866666666666645,16,12,0.14716723100000006
30,0.005476346632927911,2.4199999999999973,17,13,0.1463604519999997
31,0.006111634828127228,2.4199999999999973,17,13,0.14991231199999966
32,0.006820620164506928,1.533333333333333,20,10,0.11620948300000045
33,0.007611851940887938,2.0249999999999986,25,10,0.1275323739999985
34,0.008494871224688417,2.0249999999999986,29,10,0.15079368000000049
35,0.009480325902873678,2.0249999999999986,29,10,0.14215723199999886
36,0.010580099079488307,2.0249999999999986,30,10,0.14946874000000054
37,0.011807452368051873,2.0249999999999986,30,10,0.15497310499999895
38,0.013177185806709532,2.3833333333333315,36,9,0.17924712300000145
39,0.014705816324474048,2.3833333333333315,37,9,0.17288027300000142
40,0.01641177691059439,2.874999999999998,40,8,0.1979367329999997
41,0.018315638888734186,4.92499999999999,68,8,0.5354971600000002
